name,songUrl,songMP3Url,imageUrl,url
قال الشريف,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_aly_bn_mhmd_kal_alshryf.mp3,https://www.mrmazika.com/uploads/cdnimg/9f5e6124582e913ed86851e428ccc7dd.jpg,https://www.mrmazika.com/listen/32228-علي-بن-محمد-قال-الشريف.html
سواليف الوله,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_fhd_alkbysy_swalyf_alwlh.mp3,https://www.mrmazika.com/uploads/singers/fahd-elkbasy_499.webp,https://www.mrmazika.com/listen/32226-فهد-الكبيسي-سواليف-الوله.html
الحيلة,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hdy_alfhd_alhylt.mp3,https://www.mrmazika.com/uploads/cdnimg/17061b386ec9f2e5bddbfecfa5ea78e1.jpg,https://www.mrmazika.com/listen/32222-هدي-الفهد-الحيلة.html
يسلملي اللي بيغار,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mrwan_khwry_yslmly_ally_byghar.mp3,https://www.mrmazika.com/uploads/singers/smal1020119153454_376.webp,https://www.mrmazika.com/listen/32218-مروان-خوري-يسلملي-اللي-بيغار.html
نسيتك والله,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_sad_rmdan_nsytk_wallh.mp3,https://www.mrmazika.com/uploads/singers/76719-1307558451_994.webp,https://www.mrmazika.com/listen/32221-سعد-رمضان-نسيتك-والله.html
متحملاني,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hmadt_hlal_mthmlany.mp3,https://www.mrmazika.com/uploads/singers/img_girls-ly1372927157_724-558x390_681.webp,https://www.mrmazika.com/listen/32220-حمادة-هلال-متحملاني.html
انت,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_syf_nbyl_ant.mp3,https://www.mrmazika.com/uploads/cdnimg/040f9c3cb4aac61eb67ce02fc886afa8.jpg,https://www.mrmazika.com/listen/32219-سيف-نبيل-انت.html
لعبتي بيا - مع علي حليم,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_amar_mgbl_labty_bya_-_ma_aly_hlym.mp3,https://www.mrmazika.com/uploads/singers/ammar-mgbl_262.webp,https://www.mrmazika.com/listen/32232-عمار-مجبل-لعبتي-بيا---مع-علي-حليم.html
ازمة وتنتهي,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_asraa_alasyl_azmt_wtnthy.mp3,https://www.mrmazika.com/uploads/singers/esraa-elasil_474.webp,https://www.mrmazika.com/listen/32167-اسراء-الاصيل-ازمة-وتنتهي.html
ادعي عليك,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_abas_alamyr_aday_alyk.mp3,https://www.mrmazika.com/uploads/singers/abbas-elamir_849.webp,https://www.mrmazika.com/listen/32215-عباس-الامير-ادعي-عليك.html
الهضرة سالات,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_zynt_aldawdyt_alhdrt_salat.mp3,https://www.mrmazika.com/uploads/singers/zina-eldawodia_966.webp,https://www.mrmazika.com/listen/32214-زينة-الداودية-الهضرة-سالات.html
دبله - مع زياد ظاظا,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_afrwtw_dblh_-_ma_zyad_zaza.mp3,https://www.mrmazika.com/uploads/cdnimg/33727fed199110e93ce4351ec82455f1.webp,https://www.mrmazika.com/listen/32213-عفروتو-دبله---مع-زياد-ظاظا.html
مهرجان عينى عليك يلى مابتصونش,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_hmw_altykha_mhrgan_ayni_alyk_yli_mabtswnsh.mp3,https://www.mrmazika.com/uploads/cdnimg/d466a64c0f0faa93b3341c749033ed44.jpg,https://www.mrmazika.com/listen/32211-حمو-الطيخا-مهرجان-عينى-عليك-يلى-مابتصونش.html
ام العيون - مع يوسف باسم,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mhmd_alsalm_am_alaywn_-_ma_ywsf_basm.mp3,https://www.mrmazika.com/uploads/singers/mohamad-elsalm_902.webp,https://www.mrmazika.com/listen/32212-محمد-السالم-ام-العيون---مع-يوسف-باسم.html
الهوية أردنية,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_dyana_krzwn_alhwyt_ardnyt.mp3,https://www.mrmazika.com/uploads/singers/diana-karazon-4_254.webp,https://www.mrmazika.com/listen/32208-ديانا-كرزون-الهوية-أردنية.html
أحلى خبر,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_alanyn_ahli_khbr.mp3,https://www.mrmazika.com/uploads/cdnimg/42faf8c9f5a856240dbb9445c2498c46.jpg,https://www.mrmazika.com/listen/32205-الانين-أحلى-خبر.html
